customer_id,source_file,parent_key,reason
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,27,FUTURE_DATED
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,37,FUTURE_DATED
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,44,FUTURE_DATED
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,54,FUTURE_DATED
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,71,FUTURE_DATED
1795738e-5349-462f-bb03-5cade99ea222,audit_logs_product_views.csv,61,FUTURE_DATED
56d1dbcf-5ddf-4d9c-bb52-fc83f1f85b46,audit_logs_product_views.csv,90,FUTURE_DATED
56d1dbcf-5ddf-4d9c-bb52-fc83f1f85b46,audit_logs_product_views.csv,100,FUTURE_DATED
56d1dbcf-5ddf-4d9c-bb52-fc83f1f85b46,audit_logs_product_views.csv,110,FUTURE_DATED
56d1dbcf-5ddf-4d9c-bb52-fc83f1f85b46,audit_logs_product_views.csv,120,FUTURE_DATED
56d1dbcf-5ddf-4d9c-bb52-fc83f1f85b46,audit_logs_product_views.csv,123,FUTURE_DATED
aa878b8d-a03b-4639-bba1-48b7b432243c,audit_logs_product_views.csv,146,FUTURE_DATED
aa878b8d-a03b-4639-bba1-48b7b432243c,audit_logs_product_views.csv,156,FUTURE_DATED
aa878b8d-a03b-4639-bba1-48b7b432243c,audit_logs_product_views.csv,159,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,174,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,176,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,179,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,185,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,187,FUTURE_DATED
331703b1-7058-440a-b89d-6a0856ea1489,audit_logs_product_views.csv,189,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,210,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,217,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,224,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,252,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,231,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,238,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,245,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,259,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,266,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,275,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,281,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,287,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,301,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,308,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,316,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,322,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,336,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,295,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,329,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,343,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,357,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,371,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,350,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,364,FUTURE_DATED
02b02fd2-a7ab-405f-9338-baef9912407c,audit_logs_product_views.csv,378,FUTURE_DATED
